                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26683,                0.37037,                      1,                0.45529,               0.070326,              0.0032971,              0.0032971
                      1,                0.26065,                0.40741,                      1,                0.45592,               0.040293,              0.0065976,              0.0065976
                      2,                0.25789,                0.25926,                      1,                0.47792,               0.010227,              0.0098651,              0.0098651
                      3,                0.24104,                 0.2963,                      1,                0.46593,              0.0098515,              0.0098515,              0.0098515
                      4,                0.23775,                0.40741,                      1,                0.44743,              0.0098515,              0.0098515,              0.0098515
                      5,                0.20501,                 0.2963,                      1,                0.50395,               0.009802,               0.009802,               0.009802
                      6,                  0.191,                0.62963,                      1,                0.39903,              0.0097525,              0.0097525,              0.0097525
                      7,                0.16205,                 0.2963,                      1,                0.51372,               0.009703,               0.009703,               0.009703
                      8,                0.14109,                0.62963,                      1,                0.41246,              0.0096535,              0.0096535,              0.0096535
                      9,                0.12016,                      1,                      1,                0.28277,               0.009604,               0.009604,               0.009604
                     10,                0.08989,                0.92593,                      1,                0.27695,              0.0095545,              0.0095545,              0.0095545
                     11,                0.08347,                      1,                      1,                0.25535,               0.009505,               0.009505,               0.009505
                     12,                0.08962,                      1,                      1,                0.26963,              0.0094555,              0.0094555,              0.0094555
                     13,                0.08608,                      1,                      1,                0.26628,               0.009406,               0.009406,               0.009406
                     14,                0.07249,                      1,                      1,                0.25255,              0.0093565,              0.0093565,              0.0093565
                     15,                0.06686,                0.96296,                      1,                0.25376,               0.009307,               0.009307,               0.009307
                     16,                0.05467,                      1,                      1,                 0.2457,              0.0092575,              0.0092575,              0.0092575
                     17,                0.05474,                      1,                      1,                0.24503,               0.009208,               0.009208,               0.009208
                     18,                0.05684,                      1,                      1,                0.24214,              0.0091585,              0.0091585,              0.0091585
                     19,                0.05311,                0.96296,                      1,                0.25799,               0.009109,               0.009109,               0.009109
                     20,                 0.0541,                      1,                      1,                0.23756,              0.0090595,              0.0090595,              0.0090595
                     21,                0.05492,                      1,                      1,                0.23803,                0.00901,                0.00901,                0.00901
                     22,                0.04364,                      1,                      1,                 0.2399,              0.0089605,              0.0089605,              0.0089605
                     23,                0.04308,                0.88889,                      1,                 0.2787,               0.008911,               0.008911,               0.008911
                     24,                0.04323,                0.96296,                      1,                0.25071,              0.0088615,              0.0088615,              0.0088615
                     25,                0.05484,                      1,                      1,                0.23523,               0.008812,               0.008812,               0.008812
                     26,                 0.0484,                      1,                      1,                0.23629,              0.0087625,              0.0087625,              0.0087625
                     27,                0.04565,                0.88889,                      1,                0.28259,               0.008713,               0.008713,               0.008713
                     28,                0.04349,                      1,                      1,                0.23686,              0.0086635,              0.0086635,              0.0086635
                     29,                0.03834,                      1,                      1,                0.23711,               0.008614,               0.008614,               0.008614
                     30,                0.03924,                      1,                      1,                0.24387,              0.0085645,              0.0085645,              0.0085645
                     31,                0.03875,                      1,                      1,                0.23473,               0.008515,               0.008515,               0.008515
                     32,                0.03445,                      1,                      1,                0.23899,              0.0084655,              0.0084655,              0.0084655
                     33,                0.03787,                      1,                      1,                0.25303,               0.008416,               0.008416,               0.008416
                     34,                0.03887,                      1,                      1,                0.23491,              0.0083665,              0.0083665,              0.0083665
                     35,                0.03861,                      1,                      1,                0.24796,               0.008317,               0.008317,               0.008317
                     36,                0.03696,                0.96296,                      1,                0.27083,              0.0082675,              0.0082675,              0.0082675
                     37,                0.03465,                      1,                      1,                 0.2425,               0.008218,               0.008218,               0.008218
                     38,                0.02755,                      1,                      1,                0.23669,              0.0081685,              0.0081685,              0.0081685
                     39,                0.03289,                      1,                      1,                0.23979,               0.008119,               0.008119,               0.008119
                     40,                0.03682,                      1,                      1,                0.25182,              0.0080695,              0.0080695,              0.0080695
