                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.23835,                0.40741,                      1,                  0.461,               0.070508,              0.0032768,              0.0032768
                      1,                0.21373,                0.40741,                      1,                0.43574,               0.039854,              0.0059558,              0.0059558
                      2,                0.15032,                0.48148,                      1,                0.44134,              0.0085397,              0.0079747,              0.0079747
                      3,                0.10906,                 0.2963,                      1,                0.49315,                0.00703,                0.00703,                0.00703
                      4,                0.07318,                 0.7037,                      1,                0.35811,                0.00703,                0.00703,                0.00703
                      5,                0.03863,                0.59259,                      1,                0.41106,                0.00604,                0.00604,                0.00604
                      6,                0.02415,                0.85185,                      1,                0.29407,                0.00505,                0.00505,                0.00505
                      7,                0.01718,                0.85185,                      1,                0.29127,                0.00406,                0.00406,                0.00406
                      8,                 0.0096,                0.92593,                      1,                 0.2616,                0.00307,                0.00307,                0.00307
                      9,                0.00565,                0.81481,                      1,                0.30453,                0.00208,                0.00208,                0.00208
