                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.25445,                 0.2963,                      1,                0.46635,               0.070326,              0.0032971,              0.0032971
                      1,                 0.2258,                0.33333,                      1,                0.47171,                0.03967,               0.005974,               0.005974
                      2,                0.15423,                0.33333,                      1,                0.48302,              0.0083533,              0.0079909,              0.0079909
                      3,                0.08084,                0.33333,                      1,                0.51072,                0.00703,                0.00703,                0.00703
                      4,                0.04846,                0.33333,                      1,                0.50136,                0.00703,                0.00703,                0.00703
                      5,                 0.0318,                0.33333,                      1,                0.51389,                0.00604,                0.00604,                0.00604
                      6,                0.02114,                0.33333,                      1,                0.50254,                0.00505,                0.00505,                0.00505
                      7,                0.01699,                0.33333,                      1,                0.51388,                0.00406,                0.00406,                0.00406
                      8,                0.01382,                      1,                      1,                0.25649,                0.00307,                0.00307,                0.00307
                      9,                0.00942,                0.66667,                      1,                0.38038,                0.00208,                0.00208,                0.00208
