                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7354,                 3.6107,                 1.4705,                0.00969,                0.70385,                 0.2039,                0.11379,                  1.669,                 3.6306,                 1.3903,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.6679,                 3.2137,                 1.3353,                0.01458,                0.75067,                0.23026,                0.14255,                 1.5913,                 3.4688,                 1.2423,             0.00018393,             0.00018393,             0.00018393
                      3,                 1.6556,                 2.4296,                 1.2863,                0.98727,                 0.1401,                0.25002,                0.15866,                 1.5431,                 3.1917,                 1.1864,             0.00028014,             0.00028014,             0.00028014
                      4,                 1.6087,                 1.8722,                 1.2704,                0.98049,                0.15538,                0.31441,                 0.1962,                 1.5827,                 2.8417,                 1.2038,             0.00037437,             0.00037437,             0.00037437
                      5,                 1.5602,                 1.4968,                 1.2355,                0.88441,                0.21176,                0.63356,                0.37965,                  1.545,                 2.4757,                 1.2106,             0.00046662,             0.00046662,             0.00046662
                      6,                 1.5496,                 1.3678,                 1.2373,                0.90428,                 0.2877,                0.69004,                0.39446,                  1.614,                 2.2779,                 1.2407,             0.00055689,             0.00055689,             0.00055689
                      7,                 1.6081,                 1.3585,                 1.2619,                0.81398,                0.40323,                0.68562,                 0.3827,                 1.6628,                 2.1224,                 1.2315,             0.00064518,             0.00064518,             0.00064518
                      8,                 1.5359,                 1.3046,                 1.2366,                0.75162,                0.52433,                0.67939,                0.38329,                 1.6521,                 2.1046,                 1.2743,             0.00073148,             0.00073148,             0.00073148
                      9,                 1.5415,                 1.3151,                 1.2511,                0.77551,                0.61793,                0.72882,                0.42431,                 1.5926,                 1.8829,                 1.3028,             0.00081581,             0.00081581,             0.00081581
                     10,                 1.5457,                 1.2285,                 1.2518,                0.72202,                0.63803,                 0.7766,                0.44574,                 1.5641,                  1.685,                 1.2704,             0.00089816,             0.00089816,             0.00089816
                     11,                 1.4989,                 1.2253,                 1.1935,                0.72354,                0.69564,                0.76305,                0.43906,                 1.6027,                 1.5918,                 1.2796,             0.00097852,             0.00097852,             0.00097852
                     12,                 1.5242,                 1.2164,                 1.2382,                0.77504,                0.70719,                0.79762,                0.46343,                 1.5528,                 1.4252,                 1.2881,              0.0010569,              0.0010569,              0.0010569
